id,text,emotion
1,Eu perdi meu cachorro hoje e meu coração está partido.,Tristeza
2,O mundo parece tão cinza e sem graça agora...,Tristeza
3,Eu perdi meu avô esta semana e sinto muito a falta dele.,Tristeza
4,A vida às vezes pode parecer tão injusta e cruel.,Tristeza
5,"Às vezes, é difícil encontrar uma luz no fim do túnel.",Tristeza
6,Sinto muito a falta da minha casa antiga e da minha vida anterior.,Tristeza
7,"Às vezes, é difícil não se sentir sozinho e isolado no mundo.",Tristeza
8,É tão difícil lidar com a perda de um ente querido.,Tristeza
9,"Às vezes, a vida pode ser tão difícil e dolorosa.",Tristeza
10,"Eu só queria que as coisas fossem diferentes, mas parece que estou preso nesta tristeza.",Tristeza
11,"Às vezes, parece que estou sozinho no mundo e que ninguém entende minha dor.",Tristeza
12,"A tristeza é como uma nuvem escura que paira sobre mim, impedindo-me de ver a luz do sol.",Tristeza
13,Sinto uma tristeza profunda que parece nunca desaparecer.,Tristeza
14,"Às vezes, a tristeza é tão avassaladora que é difícil lidar com ela sozinho.",Tristeza
15,"Às vezes, sinto que minha vida é apenas uma sucessão de perdas e decepções.",Tristeza
16,A tristeza é como uma ferida aberta que nunca cicatriza completamente.,Tristeza
17,"Às vezes, é difícil encontrar a esperança quando tudo parece tão sombrio.",Tristeza
18,A tristeza é como uma prisão que me mantém cativo em meu próprio sofrimento.,Tristeza
19,"Às vezes, sinto que estou afogando em um mar de tristeza e não consigo encontrar a superfície.",Tristeza
20,A tristeza é uma emoção tão pesada e opressiva que parece esmagar meu espírito.,Tristeza
21,"Às vezes, sinto que a tristeza é tudo o que resta quando a alegria desaparece.",Tristeza
22,A tristeza é como uma sombra que me segue aonde quer que eu vá.,Tristeza
23,"Às vezes, a tristeza é tão profunda que não consigo nem chorar.",Tristeza
24,A tristeza é uma dor que parece não ter fim.,Tristeza
25,"Às vezes, a tristeza é tão avassaladora que sinto que vou ser engolido por ela.",Tristeza
26,A tristeza é como um nevoeiro espesso que obscurece minha visão do mundo.,Tristeza
27,"Às vezes, sinto que a tristeza é tudo o que tenho, que não há mais nada em minha vida.",Tristeza
28,A tristeza é como um buraco negro que suga toda a alegria e felicidade do universo.,Tristeza
29,"Às vezes, a tristeza é tão profunda que sinto que nunca vou ser capaz de superá-la.",Tristeza
30,A tristeza é uma emoção tão dolorosa que às vezes é difícil encontrar palavras para descrevê-la.,Tristeza
31,Sinto como se o mundo estivesse desabando ao meu redor.,Tristeza
32,A dor é real e às vezes é difícil de suportar.,Tristeza
33,A tristeza é uma batalha constante que tenho que enfrentar todos os dias.,Tristeza
34,"Às vezes, é difícil encontrar a luz no fim do túnel.",Tristeza
35,Eu só quero me esconder debaixo das cobertas e não sair de lá.,Tristeza
36,"Às vezes, é difícil encontrar a força para continuar.",Tristeza
37,A tristeza é como uma nuvem negra que paira sobre mim.,Tristeza
38,As lágrimas não param de cair e eu não consigo parar de sentir essa dor.,Tristeza
39,Eu sinto falta da pessoa que costumava ser antes de tudo isso acontecer.,Tristeza
40,Sinto uma tristeza profunda em meu coração.,Tristeza
41,A solidão é o meu pior inimigo.,Tristeza
42,Meu coração está partido em mil pedaços.,Tristeza
43,Nada parece me alegrar ultimamente.,Tristeza
44,Sinto como se estivesse preso em um poço sem fundo.,Tristeza
45,Minha alma está cansada de tanta dor.,Tristeza
46,Não consigo encontrar alegria em nada.,Tristeza
47,Sinto falta de algo que nunca tive.,Tristeza
48,As lágrimas não param de cair dos meus olhos.,Tristeza
49,A vida perdeu todo o seu brilho.,Tristeza
50,O vazio dentro de mim é insuportável.,Tristeza
51,A tristeza parece ter se instalado em meu coração para sempre.,Tristeza
52,Sinto como se estivesse sempre nadando contra a corrente.,Tristeza
53,Não suporto mais essa sensação de angústia.,Tristeza
54,Sinto como se estivesse perdido em um labirinto sem saída.,Tristeza
55,A tristeza é uma nuvem escura que me acompanha aonde quer que eu vá.,Tristeza
56,Meu coração está tão pesado que mal consigo respirar.,Tristeza
57,"Às vezes, sinto como se estivesse vivendo em um pesadelo sem fim.",Tristeza
58,Sinto como se estivesse cercado por uma névoa de tristeza.,Tristeza
59,Minha vida parece um filme triste e sem fim.,Tristeza
60,A solidão é um fardo pesado demais para carregar.,Tristeza
61,Sinto falta de alguém que não está mais aqui.,Tristeza
62,A tristeza é um buraco negro que suga toda a minha energia.,Tristeza
63,Não consigo encontrar um motivo para sorrir.,Tristeza
64,"Às vezes, a tristeza é tão forte que parece física.",Tristeza
65,Sinto como se estivesse sempre lutando contra uma força invisível.,Tristeza
66,Minha alma está cansada de tanto sofrimento.,Tristeza
67,A tristeza é uma ferida aberta que nunca cicatriza.,Tristeza
68,Sinto como se estivesse sempre vivendo na escuridão.,Tristeza
69,A saudade é uma dor que nunca passa.,Tristeza
70,Sinto como se estivesse sempre carregando um peso enorme nas costas.,Tristeza
71,A tristeza é um vazio que nada pode preencher.,Tristeza
72,Não consigo me livrar dessa sensação de desespero.,Tristeza
73,Sinto como se estivesse sempre à beira do abismo.,Tristeza
74,A tristeza é um inimigo que sempre volta para me assombrar.,Tristeza
75,"Às vezes, sinto como se estivesse vivendo em um mundo sem cor.",Tristeza
76,A dor é um companheiro constante.,Tristeza
77,Sinto como se estivesse sempre sozinho em meio à multidão.,Tristeza
78,A tristeza é um labirinto sem saída.,Tristeza
79,Minha vida parece um livro triste que nunca acaba.,Tristeza
80,"Às vezes, sinto como se estivesse preso em um sonho ruim.",Tristeza
81,A tristeza é uma tempestade que nunca passa.,Tristeza
82,Sinto como se estivesse sempre lutando contra mim mesmo.,Tristeza
83,A dor é um fogo que queima por dentro.,Tristeza
84,"Às vezes, sinto como se estivesse vivendo em um pesadelo acordado.",Tristeza
85,A tristeza é uma ferida que nunca fecha.,Tristeza
86,Sinto como se estivesse sempre no meio de uma tempestade.,Tristeza
87,A solidão é uma dor que nenhum remédio pode curar.,Tristeza
88,"Às vezes, sinto como se estivesse vivendo em um mundo de sombras.",Tristeza
89,A tristeza é um veneno que se espalha pelo meu corpo.,Tristeza
90,Sinto como se estivesse sempre em busca de algo que nunca encontrarei.,Tristeza
91,A dor é um monstro que me consome lentamente.,Tristeza
92,"Às vezes, sinto como se estivesse preso em uma gaiola invisível.",Tristeza
93,A tristeza é um buraco negro que engole tudo o que há de bom em mim.,Tristeza
94,Sinto como se estivesse sempre lutando contra uma maré forte.,Tristeza
95,A solidão é uma ferida que nunca sara.,Tristeza
96,"Às vezes, sinto como se estivesse vivendo em um mundo sem sentido.",Tristeza
97,A tristeza é um fantasma que me assombra todas as noites.,Tristeza
98,Sinto como se estivesse sempre no meio de uma batalha sem fim.,Tristeza
99,A dor é um abismo que me suga para baixo.,Tristeza
100,"Às vezes, sinto como se estivesse vivendo em um mundo de ilusão.",Tristeza
